location-long,location-lat,individual-local-identifier
83.8696916100001,50.821395162,"russia"
83.8382723390001,50.8562767540001,"russia"
83.820495646,50.8680073040001,"russia"
83.8004451900001,50.875655416,"russia"
83.7781726480001,50.8794277960001,"russia"
83.7326457110001,50.879634502,"russia"
83.7128019620001,50.8822183230001,"russia"
83.6905810950001,50.891830139,"russia"
83.632651815,50.9247997030001,"russia"
83.6097591550001,50.9320344030001,"russia"
83.498344768,50.9454186,"russia"
83.477002401,50.9533767710001,"russia"
83.4620162350001,50.964332174,"russia"
83.433955933,50.992650859,"russia"
83.3237817790001,51.0024177050001,"russia"
83.212057332,50.992650859,"russia"
83.1959342860001,50.9887751260001,"russia"
83.179604533,50.9872765100001,"russia"
83.1632747810001,50.988465068,"russia"
83.1375399170001,50.9946662390001,"russia"
83.1274113360001,50.99523468,"russia"
83.1173861090001,50.994562887,"russia"
83.1075675870001,50.992650859,"russia"
83.086070191,50.952549948,"russia"
83.057854858,50.917151591,"russia"
83.0214746500001,50.8917784640001,"russia"
82.9758960370001,50.881908265,"russia"
82.8441211340001,50.891726787,"russia"
82.7645394290001,50.9066612760001,"russia"
82.7264538980001,50.900718485,"russia"
82.6999955650001,50.8809780890001,"russia"
82.6980318610001,50.8109565230001,"russia"
82.6727620850001,50.7897691860001,"russia"
82.6042391360001,50.7690469360001,"russia"
82.4758232010001,50.714011536,"russia"
82.430296265,50.7411416630001,"russia"
82.4082821050001,50.748376363,"russia"
82.3624967860001,50.742123515,"russia"
82.3513346760001,50.7455341590001,"russia"
82.3412060950001,50.7502883910001,"russia"
82.3283903400001,50.7520970660001,"russia"
82.313662557,50.747756247,"russia"
82.30115686,50.7409349570001,"russia"
82.2883927820001,50.7374209600001,"russia"
82.2731482340001,50.743053691,"russia"
82.2557332760001,50.7452241010001,"russia"
82.2363029380001,50.734475403,"russia"
82.2166142170001,50.7194375610001,"russia"
82.1987858480001,50.7087922160001,"russia"
82.1736711020001,50.703056132,"russia"
82.1473161210001,50.701609192,"russia"
82.0955363360001,50.7081204230001,"russia"
82.0731087650001,50.7156651810001,"russia"
82.0125439870001,50.750133363,"russia"
81.9903231200001,50.7596418250001,"russia"
81.9453646240001,50.7692019660001,"russia"
81.8950317790001,50.7742145800001,"russia"
81.8224263910001,50.7657396450001,"russia"
81.8008773200001,50.7678583790001,"russia"
81.763463583,50.78434316,"russia"
81.7441365970001,50.784911601,"russia"
81.7257397870001,50.7746279910001,"russia"
81.697214396,50.7450173960001,"russia"
81.674115031,50.7360256960001,"russia"
81.4602262770001,50.7303412890001,"russia"
81.4310807700001,50.7407282520001,"russia"
81.4187817790001,50.7624840290001,"russia"
81.4261198320001,50.7881672160001,"russia"
81.4447233490001,50.813385315,"russia"
81.4661173910001,50.83374583,"russia"
81.439504029,50.8596873980001,"russia"
81.4160946050001,50.8896597290001,"russia"
81.4012117930001,50.9229910280001,"russia"
81.4007983810001,50.9591128540001,"russia"
81.2774467360001,50.9626785280001,"russia"
81.1588493250001,50.9382355760001,"russia"
81.104382365,50.936685282,"russia"
81.0779240310001,50.9406643680001,"russia"
81.058286987,50.9470722450001,"russia"
81.0515173750001,50.9557022100001,"russia"
81.0540495200001,50.969861552,"russia"
81.0805078540001,51.0308655800001,"russia"
81.1471704510001,51.1359496060001,"russia"
81.1559554440001,51.1574211640001,"russia"
81.158642619,51.1742676810001,"russia"
81.1520280360001,51.186540833,"russia"
81.1327527260001,51.1944731650001,"russia"
81.1128573,51.1959459440001,"russia"
81.098336223,51.1909074910001,"russia"
81.0701208900001,51.1719939170001,"russia"
81.0448511150001,51.1735183720001,"russia"
81.022113485,51.1773941040001,"russia"
80.9760181070001,51.191088359,"russia"
80.936072225,51.2056869510001,"russia"
80.9242383220001,51.216073914,"russia"
